6723218,3802610
96987908,79091024
96987908,97651256
27604394,52165083
3893839,7233703
37798257,20582738
691726,95515741
15705477,97159255
27561037,42995966
60864826,34692548
4682918,5370894
4682918,90811185
38551727,8509655
780893,4082777
7262406,3494159
7262406,6430883
62082503,19644941
31709372,1195345
15552238,8222936
5448282,90519277
74339826,91634511
2940979,-1
85751609,64808865
85751609,66968058
85751609,81816554
1449658,4541224
8798259,4907429
6875713,6662331
7906047,9598794
53213192,1028953
53213192,1511044
53213192,4549547
53213192,6125215
53213192,28296924
53213192,36527850
53213192,94685758
24365448,78336175
883595,33522595
50322481,24568561
4122675,7396344
4122675,31898317
4122675,94685313
7797226,725099
7797226,8117415
7797226,9421706
7797226,21872774
7797226,30239810
65518654,15472677
68171085,27566213
21152201,63934064
22005385,185353
86295105,8543383
54352529,137935
90588027,20080987
90588027,38283951
1424809,34778696
1424809,46798467
1424809,55105224
1424809,84337148
12113787,2561791
83406481,4202430
83406481,63784066
4498762,9893477
67847142,55230944
46557370,25110014
79779322,17368807
79779322,68440623
79779322,86459680
56020520,278015
56020520,3869864
56020520,6167901
56020520,11049629
92827260,21189267
51136414,969326
22117976,-1
4345625,3581705
79562502,-1
78733078,9607893
4029808,3749977
4029808,99083886
72786530,56278367
72786530,98267224
68173806,68643853
1992546,716511
60687042,37156354
62090283,58691216
12373302,6881941
2890854,8325521
58635899,57241894
58635899,87574589
19532774,68449530
49238613,1370982
49238613,13071245
49238613,33123598
50472382,8625497
4392034,30638245
4392034,94671290
9034355,34906133
92382070,90616791
11639,71899014
7740445,2063708
41659510,14585014
41659510,31883635
63512132,867919
958920,4619714
86549907,75117424
13014879,22436992
5276329,90283879
35098772,70290177
9165707,5522184
87856317,52164000
9000786,92103243
4086649,11492189
5234450,5569298
5234450,7688026
528987,96800937
81358468,457091
81358468,2356717
81358468,6560524
81358468,27011055
81358468,55711308
58617862,97616959
96091799,61084443
5117973,26399262
8884984,1796651
29043353,52317393
96483468,51939946
64275537,7689118
8784726,49725904
88153314,3842163
35555084,77818157
35555084,96131765
99523458,31747288
74558998,94126576
40930523,21398225
87533188,35004873
885527,7970275
53220584,46176321
86142796,84599302
126480,45882737
76123611,70549837
50470,6173538
2119371,31134177
75662211,91804193
28959705,-1
28959705,5320275
64298293,78348845
4032795,6909704
73646151,61576414
2437322,52592535
3875468,4803749
9696265,-1
87109108,3610864
73392890,9581342
73392890,62040247
73392890,83212426
73392890,98045812
19450431,52351543
18377298,9769872
29725,984302
25976077,4896871
2870465,3018068
251784,8781160
62264864,-1
81299522,5728915
53514075,52035661
53877339,5094583
47614734,8738978
47614734,92342721
2720124,1516780
3185759,1061813
49982902,7042422
82508960,27385260
82508960,99423538
7939125,86591654
9629458,71709463
31836696,11315510
31836696,44760820
31836696,72722894
31836696,89318587
4878383,93080499
4878383,93639059
53203179,5543729
35035790,96011155
76778668,1267200
8017988,21347341
83566427,81048137
3023927,47218835
1184557,1181596
58419278,97432848
9193381,1569528
9193381,8209597
55981783,718487
